data_hora;fractal;arquivo;ativo_detectado;pasta_atual;pasta_correta;acao;resultado;caminho_atual;destino_sugerido
07/06/2026 18:30:03;09_DIARIO;WDO_DIARIO_2007_2008.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2007_2008.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2007_2008.csv
07/06/2026 18:30:03;09_DIARIO;WDO_DIARIO_2008_2009.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2008_2009.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2008_2009.csv
07/06/2026 18:30:03;09_DIARIO;WDO_DIARIO_2009_2010.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2009_2010.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2009_2010.csv
07/06/2026 18:30:03;09_DIARIO;WDO_DIARIO_2010_2011.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2010_2011.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2010_2011.csv
07/06/2026 18:30:03;09_DIARIO;WDO_DIARIO_2013_2014.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2013_2014.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2013_2014.csv
07/06/2026 18:30:03;09_DIARIO;WDO_DIARIO_2015_2017.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2015_2017.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2015_2017.csv
07/06/2026 18:30:03;09_DIARIO;WDO_DIARIO_2019_2020.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2019_2020.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2019_2020.csv
07/06/2026 18:30:03;09_DIARIO;WDO_DIARIO_2020_2022.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2020_2022.csv
07/06/2026 18:30:03;09_DIARIO;WDO_DIARIO_2022_2024.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2022_2024.csv
07/06/2026 18:30:03;09_DIARIO;WDO_DIARIO_2024_2026.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2024_2026.csv
07/06/2026 18:30:03;09_DIARIO;WDO_DIARIO_2026_2026.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2026_2026.csv
07/06/2026 18:30:03;09_DIARIO;WDO_Diário_2011_2013.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_Diário_2011_2013.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_Diário_2011_2013.csv
07/06/2026 18:30:03;09_DIARIO;WIN_DIARIO_2005_2006.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2005_2006.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2005_2006.csv
07/06/2026 18:30:03;09_DIARIO;WIN_DIARIO_2007_2008.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2007_2008.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2007_2008.csv
07/06/2026 18:30:03;09_DIARIO;WIN_DIARIO_2008_2009.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2008_2009.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2008_2009.csv
07/06/2026 18:30:03;09_DIARIO;WIN_DIARIO_2009_2010.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2009_2010.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2009_2010.csv
07/06/2026 18:30:03;09_DIARIO;WIN_DIARIO_2010_2011.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2010_2011.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2010_2011.csv
