id_ocorrencia;evento;arquivo;responsavel;status_ordem;criticidade;motivo;data_evento;fiscal_temporal
FT-20260626-017877;CONTEXTO_REGISTRADO;WIN_10min_2026_2026 (2).csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017878;CONTEXTO_REGISTRADO;WIN_10min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017879;CONTEXTO_REGISTRADO;WIN_12min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017880;CONTEXTO_REGISTRADO;WIN_12min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017881;CONTEXTO_REGISTRADO;WIN_12min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017882;CONTEXTO_REGISTRADO;WIN_15min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017883;CONTEXTO_REGISTRADO;WIN_15min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017884;CONTEXTO_REGISTRADO;WIN_15min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017885;CONTEXTO_REGISTRADO;WIN_20min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017886;CONTEXTO_REGISTRADO;WIN_20min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017887;CONTEXTO_REGISTRADO;WIN_20min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017888;ORDEM_EMITIDA;WDO_30min_2014_2016.csv;ZE_DO_EUCRAZIO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;26/06/2026 11:35:58;v4.2.2
FT-20260626-017889;CONTEXTO_REGISTRADO;WDO_30min_2014_2016.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017890;CONTEXTO_REGISTRADO;WDO_30min_2016_2018.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017891;CONTEXTO_REGISTRADO;WDO_30min_2018_2020.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017892;ORDEM_EMITIDA;WDO_30min_2020_2022.csv;ZE_DO_EUCRAZIO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;26/06/2026 11:35:58;v4.2.2
FT-20260626-017893;CONTEXTO_REGISTRADO;WDO_30min_2020_2022.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017894;CONTEXTO_REGISTRADO;WDO_30min_2022_2024.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017895;CONTEXTO_REGISTRADO;WDO_30min_2024_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017896;CONTEXTO_REGISTRADO;WDO_30min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017897;CONTEXTO_REGISTRADO;WIN_30min_2012_2014.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017898;CONTEXTO_REGISTRADO;WIN_30min_2014_2016.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017899;CONTEXTO_REGISTRADO;WIN_30min_2016_2018.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017900;CONTEXTO_REGISTRADO;WIN_30min_2018_2020.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017901;CONTEXTO_REGISTRADO;WIN_30min_2020_2022.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017902;CONTEXTO_REGISTRADO;WIN_30min_2022_2024.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017903;CONTEXTO_REGISTRADO;WIN_30min_2026_2026 (2).csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017904;CONTEXTO_REGISTRADO;WIN_30min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017905;CONTEXTO_REGISTRADO;WIN_30min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017906;CONTEXTO_REGISTRADO;WIN_30min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017907;CONTEXTO_REGISTRADO;WIN_45min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017908;CONTEXTO_REGISTRADO;WIN_45min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017909;CONTEXTO_REGISTRADO;WIN_45min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017910;CONTEXTO_REGISTRADO;WDO_60MIN_2012_2014.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017911;CONTEXTO_REGISTRADO;WDO_60min_2014_2016.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017912;CONTEXTO_REGISTRADO;WDO_60min_2016_2018.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017913;CONTEXTO_REGISTRADO;WDO_60min_2018_2020.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017914;CONTEXTO_REGISTRADO;WDO_60min_2020_2022.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017915;CONTEXTO_REGISTRADO;WDO_60min_2022_2024.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017916;CONTEXTO_REGISTRADO;WDO_60min_2024_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017917;CONTEXTO_REGISTRADO;WDO_60min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017918;CONTEXTO_REGISTRADO;WIN_60min_2012_2014.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017919;CONTEXTO_REGISTRADO;WIN_60min_2014_2016.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017920;CONTEXTO_REGISTRADO;WIN_60min_2016_2018.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017921;CONTEXTO_REGISTRADO;WIN_60min_2018_2020.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017922;CONTEXTO_REGISTRADO;WIN_60min_2020_2022.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017923;CONTEXTO_REGISTRADO;WIN_60min_2022_2024.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017924;CONTEXTO_REGISTRADO;WIN_60min_2024_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017925;CONTEXTO_REGISTRADO;WIN_60min_2026_2026 (2).csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017926;CONTEXTO_REGISTRADO;WIN_60min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017927;CONTEXTO_REGISTRADO;WIN_60min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017928;CONTEXTO_REGISTRADO;WIN_60min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017929;CONTEXTO_REGISTRADO;WIN_90min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017930;CONTEXTO_REGISTRADO;WIN_90min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017931;CONTEXTO_REGISTRADO;WIN_90min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017932;CONTEXTO_REGISTRADO;WIN_120min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017933;CONTEXTO_REGISTRADO;WIN_120min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017934;CONTEXTO_REGISTRADO;WIN_120min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017935;CONTEXTO_REGISTRADO;WIN_180min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017936;CONTEXTO_REGISTRADO;WIN_180min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017937;CONTEXTO_REGISTRADO;WIN_180min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017938;CONTEXTO_REGISTRADO;WIN_240min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017939;CONTEXTO_REGISTRADO;WIN_240min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017940;CONTEXTO_REGISTRADO;WIN_240min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
