arquivo;pasta;tipo_fractal;fractal_minutos;status;maior_criticidade;motivos;responsavel;acao_recomendada;linhas;colunas;data_inicio;data_fim;ordem_temporal;timestamps_invalidos;duplicados;lacunas;ohlc_status;ohlc_problemas;volume_status;volume_negativo
WDO_10min_2023_2024.csv;010_10_MIN;INTRADAY;10;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;13621;9;02/01/2023 09:00:00;28/12/2023 18:10:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_10min_2024_2025.csv;010_10_MIN;INTRADAY;10;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;14277;9;02/01/2024 09:00:00;30/12/2024 18:10:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_10min_2025_2026.csv;010_10_MIN;INTRADAY;10;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;14225;9;02/01/2025 09:00:00;30/12/2025 18:10:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_10min_2026_2026.csv;010_10_MIN;INTRADAY;10;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;5960;9;02/01/2026 09:00:00;05/06/2026 18:10:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_10min_2022_2023.csv;010_10_MIN;INTRADAY;10;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;1918;9;11/11/2022 12:10:00;29/12/2022 18:10:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_10min_2023_2024.csv;010_10_MIN;INTRADAY;10;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;13621;9;02/01/2023 09:00:00;28/12/2023 18:10:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_10min_2024_2025.csv;010_10_MIN;INTRADAY;10;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;14282;9;02/01/2024 09:00:00;30/12/2024 18:10:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_10min_2025_2026.csv;010_10_MIN;INTRADAY;10;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;14214;9;02/01/2025 09:00:00;30/12/2025 18:10:00;DECRESCENTE;0;0;2;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_10min_2026_2026 (2).csv;010_10_MIN;INTRADAY;10;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;5203;21;21/01/2026 11:46:00;05/06/2026 18:20:00;CRESCENTE;0;0;2;OK;0;OK;0
WIN_10min_2026_2026.csv;010_10_MIN;INTRADAY;10;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;5960;9;02/01/2026 09:00:00;05/06/2026 18:10:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
