fractal_pasta;fractal_detectado;ativo;arquivo;caminho;linhas;data_inicio;data_fim;colunas;status;observacao
08_60_MIN;60_MIN;WIN;WIN_60min_2016_2018.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min_2016_2018.csv;4415;04/01/2016;28/12/2017;9;OK;
08_60_MIN;60_MIN;WIN;WIN_60min_2018_2020.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min_2018_2020.csv;4593;02/01/2018;30/12/2019;9;OK;
08_60_MIN;60_MIN;WIN;WIN_60min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min_2020_2022.csv;4625;02/01/2020;30/12/2021;9;OK;
08_60_MIN;60_MIN;WIN;WIN_60min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min_2022_2024.csv;4645;03/01/2022;28/12/2023;9;OK;
08_60_MIN;60_MIN;WIN;WIN_60min_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min_2024_2026.csv;5002;02/01/2024;30/12/2025;9;OK;
08_60_MIN;60_MIN;WIN;WIN_60min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min_2026_2026.csv;1046;02/01/2026;05/06/2026;9;OK;
09_DIARIO;DIARIO;WDO;WDO_DIARIO_2005_2006.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2005_2006.csv;402;17/05/2005;28/12/2006;8;OK;
09_DIARIO;DIARIO;WDO;WDO_DIARIO_2007_2008.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2007_2008.csv;245;02/01/2007;28/12/2007;8;OK;
09_DIARIO;DIARIO;WDO;WDO_DIARIO_2008_2009.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2008_2009.csv;249;02/01/2008;30/12/2008;8;OK;
09_DIARIO;DIARIO;WDO;WDO_DIARIO_2009_2010.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2009_2010.csv;493;02/01/2009;30/12/2010;8;OK;
09_DIARIO;DIARIO;WDO;WDO_DIARIO_2010_2011.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2010_2011.csv;247;04/01/2010;30/12/2010;8;OK;
09_DIARIO;DIARIO;WDO;WDO_DIARIO_2013_2014.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2013_2014.csv;496;02/01/2013;30/12/2014;8;OK;
09_DIARIO;DIARIO;WDO;WDO_DIARIO_2015_2017.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2015_2017.csv;495;02/01/2015;29/12/2016;8;OK;
09_DIARIO;DIARIO;WDO;WDO_DIARIO_2019_2020.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2019_2020.csv;248;02/01/2019;30/12/2019;8;OK;
09_DIARIO;DIARIO;WDO;WDO_DIARIO_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2020_2022.csv;496;02/01/2020;30/12/2021;8;OK;
09_DIARIO;DIARIO;WDO;WDO_DIARIO_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2022_2024.csv;498;03/01/2022;28/12/2023;8;OK;
09_DIARIO;DIARIO;WDO;WDO_DIARIO_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2024_2026.csv;501;02/01/2024;30/12/2025;8;OK;
09_DIARIO;DIARIO;WDO;WDO_DIARIO_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2026_2026.csv;105;02/01/2026;05/06/2026;8;OK;
09_DIARIO;DIARIO;WDO;WDO_Diário_2011_2013.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_Diário_2011_2013.csv;495;03/01/2011;28/12/2012;8;OK;
