codigo_fonte;arquivo;ativo;fractal;data_inicio;data_fim;linhas;qualidade;prioridade_mineracao;elegivel_para_historiador;observacao
REV_SRC_00082;WIN_DIARIO_2013_2015.csv;WIN;DIARIO;02/01/2013;30/12/2014;496;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00083;WIN_DIARIO_2015_2017.csv;WIN;DIARIO;02/01/2015;29/12/2016;495;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00084;WIN_DIARIO_2019_2020.csv;WIN;DIARIO;02/01/2019;30/12/2019;248;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00085;WIN_DIARIO_2020_2022.csv;WIN;DIARIO;02/01/2020;30/12/2021;496;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00086;WIN_DIARIO_2022_2024.csv;WIN;DIARIO;03/01/2022;28/12/2023;498;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00087;WIN_DIARIO_2024_2026.csv;WIN;DIARIO;02/01/2024;30/12/2025;501;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00088;WIN_DIARIO_2026_2026.csv;WIN;DIARIO;02/01/2026;05/06/2026;105;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00089;WDO_SEMANAL_2009_2011.csv;WDO;SEMANAL;05/01/2009;27/12/2010;104;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00090;WDO_SEMANAL_2011_2013.csv;WDO;SEMANAL;03/01/2011;26/12/2012;104;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00091;WDO_SEMANAL_2013_2015.csv;WDO;SEMANAL;02/01/2013;29/12/2014;105;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00092;WDO_SEMANAL_2015_2017.csv;WDO;SEMANAL;05/01/2015;26/12/2016;104;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00093;WDO_SEMANAL_2017_2019.csv;WDO;SEMANAL;02/01/2017;26/12/2018;104;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00094;WDO_SEMANAL_2019_2020.csv;WDO;SEMANAL;02/01/2019;30/12/2019;53;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00095;WDO_SEMANAL_2020_2022.csv;WDO;SEMANAL;06/01/2020;27/12/2021;104;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00096;WDO_SEMANAL_2024_2026.csv;WDO;SEMANAL;02/01/2024;29/12/2025;105;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00097;WDO_SEMANAL_2026_2026.csv;WDO;SEMANAL;05/01/2026;01/06/2026;22;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00098;WIN_Semanal_2005_2007.csv;WIN;SEMANAL;17/05/2005;26/12/2006;85;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00099;WIN_SEMANAL_2007_2009.csv;WIN;SEMANAL;02/01/2007;29/12/2008;105;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00100;WIN_SEMANAL_2009_2011.csv;WIN;SEMANAL;05/01/2009;27/12/2010;104;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00101;WIN_SEMANAL_2011_2013.csv;WIN;SEMANAL;03/01/2011;26/12/2012;104;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00102;WIN_SEMANAL_2013_2015.csv;WIN;SEMANAL;02/01/2013;29/12/2014;105;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00103;WIN_SEMANAL_2015_2017.csv;WIN;SEMANAL;05/01/2015;26/12/2016;104;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00104;WIN_SEMANAL_2017_2019.csv;WIN;SEMANAL;02/01/2017;26/12/2018;104;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00105;WIN_SEMANAL_2018_2020.csv;WIN;SEMANAL;02/01/2019;30/12/2019;53;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00106;WIN_SEMANAL_2020_2022.csv;WIN;SEMANAL;06/01/2020;27/12/2021;104;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00107;WIN_SEMANAL_2022_2024.csv;WIN;SEMANAL;03/01/2022;26/12/2023;104;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00108;WIN_SEMANAL_2024_2026.csv;WIN;SEMANAL;02/01/2024;29/12/2025;105;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00109;WIN_SEMANAL_2026_2026.csv;WIN;SEMANAL;05/01/2026;01/06/2026;22;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00110;WDOFUT_F_0_Semanal.csv;WDO;SEMANAL;17/05/2005;26/12/2006;85;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00111;WINFUT_F_0_Semanal.csv;WIN;SEMANAL;17/05/2005;26/12/2006;85;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
