ativo;fractal;arquivo;data_inicio;data_fim;anos_cobertos;linhas;status
DESCONHECIDO;DESCONHECIDO;contexto_historiador.csv;18/06/2026;18/06/2026;2026;6;ALERTA
DESCONHECIDO;DESCONHECIDO;auditoria_pastas_temporais_20260612_215249.csv;N/D;N/D;N/D;25;ALERTA
DESCONHECIDO;DESCONHECIDO;auditoria_pastas_temporais_20260612_215919.csv;N/D;N/D;N/D;24;ALERTA
DESCONHECIDO;DESCONHECIDO;auditoria_pastas_temporais_20260613_211018.csv;N/D;N/D;N/D;24;ALERTA
DESCONHECIDO;DESCONHECIDO;duplicidades_fractais_20260612_200451.csv;N/D;N/D;N/D;40;ALERTA
DESCONHECIDO;DESCONHECIDO;duplicidades_fractais_20260612_200734.csv;N/D;N/D;N/D;21;ALERTA
DESCONHECIDO;DESCONHECIDO;duplicidades_fractais_20260612_203011.csv;N/D;N/D;N/D;21;ALERTA
DESCONHECIDO;DESCONHECIDO;duplicidades_fractais_20260612_204049.csv;N/D;N/D;N/D;21;ALERTA
DESCONHECIDO;DESCONHECIDO;duplicidades_fractais_20260612_204345.csv;N/D;N/D;N/D;21;ALERTA
DESCONHECIDO;DESCONHECIDO;duplicidades_fractais_20260612_210109.csv;N/D;N/D;N/D;21;ALERTA
DESCONHECIDO;DESCONHECIDO;duplicidades_fractais_20260612_210609.csv;N/D;N/D;N/D;21;ALERTA
DESCONHECIDO;DESCONHECIDO;alertas_temporais.csv;N/D;N/D;N/D;45;ALERTA
DESCONHECIDO;DESCONHECIDO;certificado_sha256.csv;N/D;N/D;N/D;121;ALERTA
DESCONHECIDO;DESCONHECIDO;certificado_temporal.csv;N/D;N/D;N/D;121;ALERTA
DESCONHECIDO;DESCONHECIDO;ordens_operador.csv;N/D;N/D;N/D;0;ALERTA
DESCONHECIDO;DESCONHECIDO;ordens_para_bernardo.csv;N/D;N/D;N/D;7;ALERTA
DESCONHECIDO;DESCONHECIDO;ordens_para_ze.csv;N/D;N/D;N/D;39;ALERTA
DESCONHECIDO;DESCONHECIDO;registro_protocolos_fiscal.csv;N/D;N/D;N/D;45;ALERTA
DESCONHECIDO;DESCONHECIDO;resumo_por_arquivo.csv;N/D;N/D;N/D;121;ALERTA
DESCONHECIDO;DESCONHECIDO;resumo_por_motivo.csv;N/D;N/D;N/D;3;ALERTA
DESCONHECIDO;DESCONHECIDO;trilha_auditoria_temporal.csv;N/D;N/D;N/D;45;ALERTA
DESCONHECIDO;DESCONHECIDO;catalogo_padroes_historiador.csv;N/D;N/D;N/D;7;ALERTA
DESCONHECIDO;DESCONHECIDO;cobertura_temporal.csv;N/D;N/D;N/D;163;ALERTA
DESCONHECIDO;DESCONHECIDO;distribuicao_fractais.csv;N/D;N/D;N/D;24;ALERTA
DESCONHECIDO;DESCONHECIDO;estatistica_biblioteca.csv;N/D;N/D;N/D;32;ALERTA
DESCONHECIDO;DESCONHECIDO;estatistica_delta.csv;N/D;N/D;N/D;32;ALERTA
DESCONHECIDO;DESCONHECIDO;estatistica_volume.csv;N/D;N/D;N/D;32;ALERTA
WIN;30_MIN;WIN_30min_2016_2018.csv;04/01/2016;28/12/2017;2016,2017;8646;OK
WIN;30_MIN;WIN_30min_2012_2014.csv;14/06/2012;30/12/2013;2012,2013;6768;OK
WIN;30_MIN;WIN_30min_2026_2026_CANDLES_PARCIAIS.csv;21/01/2026;05/06/2026;2026;93;OK
WIN;30_MIN;WIN_30min_2026_2026.csv;21/01/2026;05/06/2026;2026;1736;OK
WIN;3_MIN;WIN_3min_2026_2026.csv;21/01/2026;05/06/2026;2026;17232;OK
WIN;45_MIN;WIN_45min_2026_2026_CANDLES_PARCIAIS.csv;21/01/2026;05/06/2026;2026;93;OK
WIN;45_MIN;WIN_45min_2026_2026.csv;21/01/2026;05/06/2026;2026;1188;OK
WIN;4_MIN;WIN_4min_2026_2026.csv;21/01/2026;05/06/2026;2026;12930;OK
WIN;4_MIN;WIN_4min_2026_2026_CANDLES_PARCIAIS.csv;21/01/2026;05/06/2026;2026;92;OK
WIN;5_MIN;WIN_5min_2024_2025.csv;02/01/2024;30/12/2024;2024;28314;OK
WIN;5_MIN;WIN_5min_2025_2026.csv;02/01/2025;30/12/2025;2025;28176;OK
WIN;5_MIN;WIN_5min_2026_2026 (2).csv;02/01/2026;05/06/2026;2026;11817;OK
WIN;5_MIN;WIN_5min_2026_2026.csv;21/01/2026;05/06/2026;2026;10316;OK
WIN;5_MIN;WIN_5min_2026_2026_CANDLES_PARCIAIS.csv;21/01/2026;03/06/2026;2026;35;OK
WIN;5_MIN;WIN_5min_2023_2024.csv;22/08/2023;28/12/2023;2023;9612;OK
WIN;60_MIN;WIN_60min_2014_2016.csv;02/01/2014;30/12/2015;2014,2015;4435;OK
WIN;60_MIN;WIN_60min_2018_2020.csv;02/01/2018;30/12/2019;2018,2019;4593;OK
WIN;60_MIN;WIN_60min_2020_2022.csv;02/01/2020;30/12/2021;2020,2021;4625;OK
WIN;60_MIN;WIN_60min_2024_2026.csv;02/01/2024;30/12/2025;2024,2025;5002;OK
WIN;60_MIN;WIN_60min_2026_2026 (2).csv;02/01/2026;05/06/2026;2026;1046;OK
WIN;60_MIN;WIN_60min_2022_2024.csv;03/01/2022;28/12/2023;2022,2023;4645;OK
WIN;60_MIN;WIN_60min_2016_2018.csv;04/01/2016;28/12/2017;2016,2017;4415;OK
WIN;60_MIN;WIN_60min_2012_2014.csv;18/04/2012;30/12/2013;2012,2013;3784;OK
WIN;60_MIN;WIN_60min_2026_2026_CANDLES_PARCIAIS.csv;21/01/2026;05/06/2026;2026;93;OK
WIN;60_MIN;WIN_60min_2026_2026.csv;21/01/2026;05/06/2026;2026;914;OK
WIN;6_MIN;WIN_6min_2026_2026.csv;21/01/2026;05/06/2026;2026;8640;OK
WIN;6_MIN;WIN_6min_2026_2026_CANDLES_PARCIAIS.csv;21/01/2026;05/06/2026;2026;92;OK
WIN;7_MIN;WIN_7min_2026_2026.csv;21/01/2026;05/06/2026;2026;7395;OK
WIN;7_MIN;WIN_7min_2026_2026_CANDLES_PARCIAIS.csv;22/01/2026;05/06/2026;2026;92;OK
WIN;7_MIN;WIN_7min_2026_2026_AUDITOR_SESSOES.csv;N/D;N/D;N/D;93;ALERTA
WIN;8_MIN;WIN_8min_2026_2026.csv;21/01/2026;05/06/2026;2026;6482;OK
WIN;8_MIN;WIN_8min_2026_2026_CANDLES_PARCIAIS.csv;21/01/2026;05/06/2026;2026;93;OK
WIN;90_MIN;WIN_90min_2026_2026_CANDLES_PARCIAIS.csv;21/01/2026;05/06/2026;2026;93;OK
WIN;90_MIN;WIN_90min_2026_2026.csv;21/01/2026;05/06/2026;2026;640;OK
WIN;9_MIN;WIN_9min_2026_2026.csv;21/01/2026;05/06/2026;2026;5753;OK
WIN;9_MIN;WIN_9min_2026_2026_CANDLES_PARCIAIS.csv;21/01/2026;05/06/2026;2026;93;OK
WIN;DIARIO;WIN_DIARIO_2007_2008.csv;02/01/2007;28/12/2007;2007;245;OK
WIN;DIARIO;WIN_DIARIO_2008_2009.csv;02/01/2008;30/12/2008;2008;249;OK
WIN;DIARIO;WIN_DIARIO_2009_2010.csv;02/01/2009;30/12/2010;2009,2010;493;OK
