codigo_fonte;arquivo;ativo;fractal;data_inicio;data_fim;linhas;qualidade;prioridade_mineracao;elegivel_para_historiador;observacao
REV_SRC_00110;WIN_30min_2022_2024.csv;WIN;30_MIN;03/01/2022;28/12/2023;9119;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00111;WIN_30min_2026_2026 (2).csv;WIN;30_MIN;02/01/2026;05/06/2026;1987;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00112;WIN_30min_2026_2026.csv;WIN;30_MIN;21/01/2026;05/06/2026;1736;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00113;WIN_45min_2026_2026.csv;WIN;45_MIN;21/01/2026;05/06/2026;1188;EXCELENTE;0;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00114;WDO_60MIN_2012_2014.csv;WDO;60_MIN;02/01/2014;30/12/2015;4425;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00115;WDO_60min_2014_2016.csv;WDO;60_MIN;02/01/2014;30/12/2015;4425;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00116;WDO_60min_2016_2018.csv;WDO;60_MIN;04/01/2016;28/12/2017;3888;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00117;WDO_60min_2018_2020.csv;WDO;60_MIN;02/01/2018;30/12/2019;4593;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00118;WDO_60min_2020_2022.csv;WDO;60_MIN;02/01/2020;30/12/2021;4625;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00119;WDO_60min_2022_2024.csv;WDO;60_MIN;03/01/2022;28/12/2023;4645;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00120;WDO_60min_2024_2026.csv;WDO;60_MIN;02/01/2024;30/12/2025;5001;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00121;WDO_60min_2026_2026.csv;WDO;60_MIN;02/01/2026;05/06/2026;1046;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00122;WIN_60min_2012_2014.csv;WIN;60_MIN;18/04/2012;30/12/2013;3784;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00123;WIN_60min_2014_2016.csv;WIN;60_MIN;02/01/2014;30/12/2015;4435;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00124;WIN_60min_2016_2018.csv;WIN;60_MIN;04/01/2016;28/12/2017;4415;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00125;WIN_60min_2018_2020.csv;WIN;60_MIN;02/01/2018;30/12/2019;4593;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00126;WIN_60min_2020_2022.csv;WIN;60_MIN;02/01/2020;30/12/2021;4625;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00127;WIN_60min_2022_2024.csv;WIN;60_MIN;03/01/2022;28/12/2023;4645;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00128;WIN_60min_2024_2026.csv;WIN;60_MIN;02/01/2024;30/12/2025;5002;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00129;WIN_60min_2026_2026 (2).csv;WIN;60_MIN;02/01/2026;05/06/2026;1046;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00130;WIN_60min_2026_2026.csv;WIN;60_MIN;21/01/2026;05/06/2026;914;EXCELENTE;2;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00131;WIN_90min_2026_2026.csv;WIN;90_MIN;21/01/2026;05/06/2026;640;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00132;WDO_DIARIO_2005_2006.csv;WDO;DIARIO;17/05/2005;28/12/2006;402;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00133;WDO_DIARIO_2007_2008.csv;WDO;DIARIO;02/01/2007;28/12/2007;245;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00134;WDO_DIARIO_2008_2009.csv;WDO;DIARIO;02/01/2008;30/12/2008;249;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00135;WDO_DIARIO_2009_2010.csv;WDO;DIARIO;02/01/2009;30/12/2010;493;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00136;WDO_DIARIO_2010_2011.csv;WDO;DIARIO;04/01/2010;30/12/2010;247;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00137;WDO_DIARIO_2013_2014.csv;WDO;DIARIO;02/01/2013;30/12/2014;496;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00138;WDO_DIARIO_2015_2017.csv;WDO;DIARIO;02/01/2015;29/12/2016;495;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00139;WDO_DIARIO_2019_2020.csv;WDO;DIARIO;02/01/2019;30/12/2019;248;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00140;WDO_DIARIO_2020_2022.csv;WDO;DIARIO;02/01/2020;30/12/2021;496;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00141;WDO_DIARIO_2022_2024.csv;WDO;DIARIO;03/01/2022;28/12/2023;498;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00142;WDO_DIARIO_2024_2026.csv;WDO;DIARIO;02/01/2024;30/12/2025;501;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00143;WDO_DIARIO_2026_2026.csv;WDO;DIARIO;02/01/2026;05/06/2026;105;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00144;WDO_Diário_2011_2013.csv;WDO;DIARIO;03/01/2011;28/12/2012;495;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00145;WIN_DIARIO_2017_2019.csv;WIN;DIARIO;02/01/2017;28/12/2018;491;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00146;WIN_DIARIO_2005_2006.csv;WIN;DIARIO;17/05/2005;28/12/2006;404;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00147;WIN_DIARIO_2007_2008.csv;WIN;DIARIO;02/01/2007;28/12/2007;245;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00148;WIN_DIARIO_2008_2009.csv;WIN;DIARIO;02/01/2008;30/12/2008;249;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00149;WIN_DIARIO_2009_2010.csv;WIN;DIARIO;02/01/2009;30/12/2010;493;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00150;WIN_DIARIO_2010_2011.csv;WIN;DIARIO;04/01/2010;30/12/2010;247;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00151;WIN_DIARIO_2011_2013.csv;WIN;DIARIO;03/01/2011;28/12/2012;495;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00152;WIN_DIARIO_2013_2015.csv;WIN;DIARIO;02/01/2013;30/12/2014;496;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
