fractal;ativo;pasta;arquivo;linhas;data_inicio;data_fim;status;observacao;caminho
08_60_MIN;WIN;win;WIN_60min_2022_2024.csv;4645;03/01/2022;28/12/2023;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min_2022_2024.csv
08_60_MIN;WIN;win;WIN_60min_2024_2026.csv;5002;02/01/2024;30/12/2025;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min_2024_2026.csv
09_DIARIO;WDO;wdo;WDO_DIARIO_2005_2006.csv;402;17/05/2005;28/12/2006;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2005_2006.csv
09_DIARIO;WDO;wdo;WDO_DIARIO_2007_2008.csv;245;02/01/2007;28/12/2007;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2007_2008.csv
09_DIARIO;WDO;wdo;WDO_DIARIO_2008_2009.csv;249;02/01/2008;30/12/2008;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2008_2009.csv
09_DIARIO;WDO;wdo;WDO_DIARIO_2009_2010.csv;493;02/01/2009;30/12/2010;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2009_2010.csv
09_DIARIO;WDO;wdo;WDO_DIARIO_2010_2011.csv;247;04/01/2010;30/12/2010;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2010_2011.csv
09_DIARIO;WDO;wdo;WDO_DIARIO_2013_2014.csv;496;02/01/2013;30/12/2014;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2013_2014.csv
09_DIARIO;WDO;wdo;WDO_DIARIO_2015_2017.csv;495;02/01/2015;29/12/2016;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2015_2017.csv
09_DIARIO;WDO;wdo;WDO_DIARIO_2019_2020.csv;248;02/01/2019;30/12/2019;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2019_2020.csv
09_DIARIO;WDO;wdo;WDO_DIARIO_2020_2022.csv;496;02/01/2020;30/12/2021;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2020_2022.csv
09_DIARIO;WDO;wdo;WDO_DIARIO_2022_2024.csv;498;03/01/2022;28/12/2023;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2022_2024.csv
09_DIARIO;WDO;wdo;WDO_DIARIO_2024_2026.csv;501;02/01/2024;30/12/2025;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2024_2026.csv
09_DIARIO;WDO;wdo;WDO_DIARIO_2026_2026.csv;105;02/01/2026;05/06/2026;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_DIARIO_2026_2026.csv
09_DIARIO;WDO;wdo;WDO_Diário_2011_2013.csv;495;03/01/2011;28/12/2012;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\wdo\WDO_Diário_2011_2013.csv
