arquivo;tipo_problema;gravidade;detalhe
resumo_por_arquivo.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
resumo_por_arquivo.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
resumo_por_arquivo.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
resumo_por_arquivo.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
resumo_por_motivo.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
resumo_por_motivo.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
resumo_por_motivo.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
resumo_por_motivo.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
trilha_auditoria_temporal.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
trilha_auditoria_temporal.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
trilha_auditoria_temporal.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
trilha_auditoria_temporal.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
catalogo_padroes_historiador.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
catalogo_padroes_historiador.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
catalogo_padroes_historiador.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
catalogo_padroes_historiador.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
cobertura_temporal.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
cobertura_temporal.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
