data_hora;pasta_base;fractal_pasta;arquivo;ativo_nome;caminho;status;problemas
17/06/2026 00:44:48;060_60_MIN;60_MIN;WDO_60min_2020_2022.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\wdo\WDO_60min_2020_2022.csv;OK;NENHUM
17/06/2026 00:44:48;060_60_MIN;60_MIN;WDO_60min_2022_2024.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\wdo\WDO_60min_2022_2024.csv;OK;NENHUM
17/06/2026 00:44:48;060_60_MIN;60_MIN;WDO_60min_2024_2026.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\wdo\WDO_60min_2024_2026.csv;OK;NENHUM
17/06/2026 00:44:48;060_60_MIN;60_MIN;WDO_60min_2026_2026.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\wdo\WDO_60min_2026_2026.csv;OK;NENHUM
17/06/2026 00:44:48;060_60_MIN;60_MIN;WIN_60min_2012_2014.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\win\WIN_60min_2012_2014.csv;OK;NENHUM
17/06/2026 00:44:48;060_60_MIN;60_MIN;WIN_60min_2014_2016.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\win\WIN_60min_2014_2016.csv;OK;NENHUM
17/06/2026 00:44:48;060_60_MIN;60_MIN;WIN_60min_2016_2018.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\win\WIN_60min_2016_2018.csv;OK;NENHUM
17/06/2026 00:44:48;060_60_MIN;60_MIN;WIN_60min_2018_2020.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\win\WIN_60min_2018_2020.csv;OK;NENHUM
17/06/2026 00:44:48;060_60_MIN;60_MIN;WIN_60min_2020_2022.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\win\WIN_60min_2020_2022.csv;OK;NENHUM
17/06/2026 00:44:48;060_60_MIN;60_MIN;WIN_60min_2022_2024.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\win\WIN_60min_2022_2024.csv;OK;NENHUM
17/06/2026 00:44:48;060_60_MIN;60_MIN;WIN_60min_2024_2026.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\win\WIN_60min_2024_2026.csv;OK;NENHUM
17/06/2026 00:44:48;060_60_MIN;60_MIN;WIN_60min_2026_2026 (2).csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\win\WIN_60min_2026_2026 (2).csv;VERIFICAR;NOME_COM_ESPACO
17/06/2026 00:44:48;060_60_MIN;60_MIN;WIN_60min_2026_2026.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\win\WIN_60min_2026_2026.csv;OK;NENHUM
17/06/2026 00:44:48;090_90_MIN;90_MIN;WIN_90min_2026_2026.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\090_90_MIN\win\WIN_90min_2026_2026.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WDO_DIARIO_2005_2006.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\wdo\WDO_DIARIO_2005_2006.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WDO_DIARIO_2007_2008.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\wdo\WDO_DIARIO_2007_2008.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WDO_DIARIO_2008_2009.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\wdo\WDO_DIARIO_2008_2009.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WDO_DIARIO_2009_2010.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\wdo\WDO_DIARIO_2009_2010.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WDO_DIARIO_2010_2011.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\wdo\WDO_DIARIO_2010_2011.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WDO_DIARIO_2013_2014.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\wdo\WDO_DIARIO_2013_2014.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WDO_DIARIO_2015_2017.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\wdo\WDO_DIARIO_2015_2017.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WDO_DIARIO_2019_2020.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\wdo\WDO_DIARIO_2019_2020.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WDO_DIARIO_2020_2022.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\wdo\WDO_DIARIO_2020_2022.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WDO_DIARIO_2022_2024.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\wdo\WDO_DIARIO_2022_2024.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WDO_DIARIO_2024_2026.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\wdo\WDO_DIARIO_2024_2026.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WDO_DIARIO_2026_2026.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\wdo\WDO_DIARIO_2026_2026.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WDO_Diário_2011_2013.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\wdo\WDO_Diário_2011_2013.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WIN_DIARIO_2017_2019.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\wdo\WIN_DIARIO_2017_2019.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WIN_DIARIO_2005_2006.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\win\WIN_DIARIO_2005_2006.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WIN_DIARIO_2007_2008.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\win\WIN_DIARIO_2007_2008.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WIN_DIARIO_2008_2009.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\win\WIN_DIARIO_2008_2009.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WIN_DIARIO_2009_2010.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\win\WIN_DIARIO_2009_2010.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WIN_DIARIO_2010_2011.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\win\WIN_DIARIO_2010_2011.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WIN_DIARIO_2011_2013.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\win\WIN_DIARIO_2011_2013.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WIN_DIARIO_2013_2015.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\win\WIN_DIARIO_2013_2015.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WIN_DIARIO_2015_2017.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\win\WIN_DIARIO_2015_2017.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WIN_DIARIO_2019_2020.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\win\WIN_DIARIO_2019_2020.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WIN_DIARIO_2020_2022.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\win\WIN_DIARIO_2020_2022.csv;OK;NENHUM
17/06/2026 00:44:48;120_120_MIN;120_MIN;WIN_DIARIO_2022_2024.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\D01_DIARIO\win\WIN_DIARIO_2022_2024.csv;OK;NENHUM
