arquivo;ativo;fractal;data_inicio;data_fim;linhas;colunas;status;confiabilidade;nota_qualidade;classificacao;tags;origem;caminho
WIN_60min_2026_2026_CANDLES_PARCIAIS.csv;WIN;60_MIN;21/01/2026;05/06/2026;93;21;OK;98;100;EXCELENTE;WIN,60_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_60min_2026_2026_CANDLES_PARCIAIS.csv
WIN_6min_2026_2026_CANDLES_PARCIAIS.csv;WIN;6_MIN;21/01/2026;05/06/2026;92;21;OK;98;100;EXCELENTE;WIN,6_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_6min_2026_2026_CANDLES_PARCIAIS.csv
WIN_7min_2026_2026_CANDLES_PARCIAIS.csv;WIN;7_MIN;22/01/2026;05/06/2026;92;21;OK;98;100;EXCELENTE;WIN,7_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_7min_2026_2026_CANDLES_PARCIAIS.csv
WIN_8min_2026_2026_CANDLES_PARCIAIS.csv;WIN;8_MIN;21/01/2026;05/06/2026;93;21;OK;98;100;EXCELENTE;WIN,8_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_8min_2026_2026_CANDLES_PARCIAIS.csv
WIN_90min_2026_2026_CANDLES_PARCIAIS.csv;WIN;90_MIN;21/01/2026;05/06/2026;93;21;OK;98;100;EXCELENTE;WIN,90_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_90min_2026_2026_CANDLES_PARCIAIS.csv
WIN_9min_2026_2026_CANDLES_PARCIAIS.csv;WIN;9_MIN;21/01/2026;05/06/2026;93;21;OK;98;100;EXCELENTE;WIN,9_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_9min_2026_2026_CANDLES_PARCIAIS.csv
WDO_10min2022_2023.csv;WDO;10_MIN;11/11/2022;29/12/2022;1913;9;OK;100;100;EXCELENTE;WDO,10_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min2022_2023.csv
WDO_10min_2023_2024.csv;WDO;10_MIN;02/01/2023;28/12/2023;13622;9;OK;100;100;EXCELENTE;WDO,10_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2023_2024.csv
WDO_10min_2024_2025.csv;WDO;10_MIN;02/01/2024;30/12/2024;14278;9;OK;100;100;EXCELENTE;WDO,10_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2024_2025.csv
WDO_10min_2025_2026.csv;WDO;10_MIN;02/01/2025;30/12/2025;14226;9;OK;100;100;EXCELENTE;WDO,10_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2025_2026.csv
WDO_10min_2026_2026.csv;WDO;10_MIN;02/01/2026;05/06/2026;5961;9;OK;100;100;EXCELENTE;WDO,10_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2026_2026.csv
WIN_10min_2022_2023.csv;WIN;10_MIN;11/11/2022;29/12/2022;1919;9;OK;100;100;EXCELENTE;WIN,10_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2022_2023.csv
WIN_10min_2023_2024.csv;WIN;10_MIN;02/01/2023;28/12/2023;13622;9;OK;100;100;EXCELENTE;WIN,10_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2023_2024.csv
WIN_10min_2024_2025.csv;WIN;10_MIN;02/01/2024;30/12/2024;14283;9;OK;100;100;EXCELENTE;WIN,10_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2024_2025.csv
WIN_10min_2025_2026.csv;WIN;10_MIN;02/01/2025;30/12/2025;14215;9;OK;100;100;EXCELENTE;WIN,10_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2025_2026.csv
WIN_10min_2026_2026 (2).csv;WIN;10_MIN;21/01/2026;05/06/2026;5204;21;OK;100;100;EXCELENTE;WIN,10_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2026_2026 (2).csv
WIN_10min_2026_2026.csv;WIN;10_MIN;02/01/2026;05/06/2026;5961;9;OK;100;100;EXCELENTE;WIN,10_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2026_2026.csv
WIN_12min_2026_2026.csv;WIN;12_MIN;21/01/2026;05/06/2026;4350;21;OK;98;100;EXCELENTE;WIN,12_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\012_12_MIN\win\WIN_12min_2026_2026.csv
WIN_15min_2026_2026.csv;WIN;15_MIN;21/01/2026;05/06/2026;3470;21;OK;100;100;EXCELENTE;WIN,15_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\015_15_MIN\win\WIN_15min_2026_2026.csv
WIN_15min_2026_2026.csv;WIN;15_MIN;21/01/2026;05/06/2026;3470;21;OK;100;100;EXCELENTE;WIN,15_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\015_15_MIN\win\WIN_15min_2026_2026.csv
WIN_20min_2026_2026.csv;WIN;20_MIN;21/01/2026;05/06/2026;2648;21;OK;98;100;EXCELENTE;WIN,20_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\020_20_MIN\win\WIN_20min_2026_2026.csv
WDO_30min_2014_2016.csv;WDO;30_MIN;05/03/2015;30/12/2015;3666;9;OK;100;100;EXCELENTE;WDO,30_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2014_2016.csv
WDO_30min_2016_2018.csv;WDO;30_MIN;04/01/2016;28/12/2017;7624;9;OK;100;100;EXCELENTE;WDO,30_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2016_2018.csv
WDO_30min_2018_2020.csv;WDO;30_MIN;02/01/2018;30/12/2019;9022;9;OK;100;100;EXCELENTE;WDO,30_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2018_2020.csv
WDO_30min_2020_2022.csv;WDO;30_MIN;02/01/2020;30/12/2021;9080;9;OK;100;100;EXCELENTE;WDO,30_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2020_2022.csv
